time,day_temperature_C,day_humidity_percent,dayofweek_sin,dayofweek_cos,dayofmonth_sin,dayofmonth_cos,dayofyear_sin,dayofyear_cos,complaint_count
2023-05-09,33.6,44,0.7818314824680298,0.6234898018587336,0.9680771188662043,-0.2506525322587204,0.7961828637826158,-0.6050560696488488,20.0
2023-05-10,33.8,43,0.9749279121818236,-0.22252093395631434,0.8978045395707416,-0.4403941515576344,0.7856498550787147,-0.6186714032625031,26.0
2023-05-11,33.5,34,0.43388373911755823,-0.900968867902419,0.7907757369376989,-0.6121059825476626,0.7748840413670407,-0.6321034111873487,37.0
2023-05-12,32.9,38,-0.433883739117558,-0.9009688679024191,0.6513724827222223,-0.758758122692791,0.7638886127905428,-0.6453481132295501,24.0
2023-05-13,32.9,40,-0.9749279121818236,-0.2225209339563146,0.48530196253108104,-0.8743466161445821,0.7526668275320085,-0.6584015846980488,25.0
2023-05-14,34.3,34,-0.7818314824680299,0.6234898018587334,0.29936312297335804,-0.9541392564000488,0.7412220108485958,-0.6712599575675313,15.0
2023-05-15,35.0,27,0.0,1.0,0.10116832198743272,-0.994869323391895,0.7295575540864875,-0.6839194216246106,15.0
2023-05-16,35.0,41,0.7818314824680298,0.6234898018587336,-0.10116832198743204,-0.9948693233918952,0.717676913675962,-0.6963762255968722,21.0
2023-05-17,35.4,34,0.9749279121818236,-0.22252093395631434,-0.2993631229733582,-0.9541392564000488,0.705583610107178,-0.7086266782644596,30.0
2023-05-18,35.5,32,0.43388373911755823,-0.900968867902419,-0.4853019625310808,-0.8743466161445822,0.6932812268869777,-0.7206671495538609,26.0
2023-05-19,35.1,34,-0.433883739117558,-0.9009688679024191,-0.651372482722222,-0.7587581226927911,0.6807734094770161,-0.7324940716135789,38.0
2023-05-20,34.4,37,-0.9749279121818236,-0.2225209339563146,-0.7907757369376986,-0.6121059825476627,0.6680638642135335,-0.7441039398713607,13.0
2023-05-21,34.2,39,-0.7818314824680299,0.6234898018587334,-0.8978045395707417,-0.44039415155763423,0.6551563572090853,-0.7554933140726803,18.0
2023-05-22,34.4,37,0.0,1.0,-0.9680771188662041,-0.2506525322587213,0.6420547132365637,-0.766658819300159,36.0
2023-05-23,35.1,33,0.7818314824680298,0.6234898018587336,-0.9987165071710528,-0.05064916883871355,0.6287628145958344,-0.7775971469736269,17.0
2023-05-24,35.5,32,0.9749279121818236,-0.22252093395631434,-0.9884683243281114,0.15142777750457667,0.6152845999633276,-0.7883050558305255,24.0
2023-05-25,34.9,38,0.43388373911755823,-0.900968867902419,-0.9377521321470804,0.3473052528448203,0.6016240632249226,-0.7987793728863649,22.0
2023-05-26,33.5,40,-0.433883739117558,-0.9009688679024191,-0.8486442574947509,0.5289640103269624,0.5877852522924732,-0.8090169943749473,10.0
2023-05-27,33.2,44,-0.9749279121818236,-0.2225209339563146,-0.72479278722912,0.6889669190756865,0.5737722679043246,-0.8190148866680801,27.0
2023-05-28,32.9,39,-0.7818314824680299,0.6234898018587334,-0.5712682150947924,0.8207634412072763,0.5595892624101765,-0.8287700871745038,14.0
2023-05-29,33.6,45,0.0,1.0,-0.3943558551133187,0.9189578116202306,0.545240438540651,-0.8382797052177744,38.0
